4 64
1 1 99.99999999999999
2 1 -24.999999999999996
5 1 -24.999999999999996
1 2 -24.999999999999996
2 2 99.99999999999999
3 2 -24.999999999999996
6 2 -24.999999999999996
2 3 -24.999999999999996
3 3 99.99999999999999
4 3 -24.999999999999996
7 3 -24.999999999999996
3 4 -24.999999999999996
4 4 99.99999999999999
8 4 -24.999999999999996
1 5 -24.999999999999996
5 5 99.99999999999999
6 5 -24.999999999999996
9 5 -24.999999999999996
2 6 -24.999999999999996
5 6 -24.999999999999996
6 6 99.99999999999999
7 6 -24.999999999999996
10 6 -24.999999999999996
3 7 -24.999999999999996
6 7 -24.999999999999996
7 7 99.99999999999999
8 7 -24.999999999999996
11 7 -24.999999999999996
4 8 -24.999999999999996
7 8 -24.999999999999996
8 8 99.99999999999999
12 8 -24.999999999999996
5 9 -24.999999999999996
9 9 99.99999999999999
10 9 -24.999999999999996
13 9 -24.999999999999996
6 10 -24.999999999999996
9 10 -24.999999999999996
10 10 99.99999999999999
11 10 -24.999999999999996
14 10 -24.999999999999996
7 11 -24.999999999999996
10 11 -24.999999999999996
11 11 99.99999999999999
12 11 -24.999999999999996
15 11 -24.999999999999996
8 12 -24.999999999999996
11 12 -24.999999999999996
12 12 99.99999999999999
16 12 -24.999999999999996
9 13 -24.999999999999996
13 13 99.99999999999999
14 13 -24.999999999999996
10 14 -24.999999999999996
13 14 -24.999999999999996
14 14 99.99999999999999
15 14 -24.999999999999996
11 15 -24.999999999999996
14 15 -24.999999999999996
15 15 99.99999999999999
16 15 -24.999999999999996
12 16 -24.999999999999996
15 16 -24.999999999999996
16 16 99.99999999999999
0.9045084971874736 0.5590169943749476 -0.5590169943749473 -0.9045084971874737 0.5590169943749476 0.34549150281252644 -0.3454915028125263 -0.5590169943749476 -0.5590169943749473 -0.3454915028125263 0.34549150281252616 0.5590169943749473 -0.9045084971874737 -0.5590169943749476 0.5590169943749473 0.9045084971874738 
